states,year,quarter,district,trans_counts,amount
Andaman & Nicobar Islands,2018,1,North And Middle Andaman District,442,931663.08
Andaman & Nicobar Islands,2018,1,South Andaman District,5688,12560249.34
Andaman & Nicobar Islands,2018,1,Nicobars District,528,1139848.8
Andaman & Nicobar Islands,2018,2,North And Middle Andaman District,825,1317863.08
Andaman & Nicobar Islands,2018,2,South Andaman District,9395,23948235.52
Andaman & Nicobar Islands,2018,2,Nicobars District,1120,3072436.91
Andaman & Nicobar Islands,2018,3,North And Middle Andaman District,1283,4901529.52
Andaman & Nicobar Islands,2018,3,South Andaman District,13511,44268112.46
Andaman & Nicobar Islands,2018,3,Nicobars District,1471,6387829.15
Andaman & Nicobar Islands,2018,4,North And Middle Andaman District,2137,7955635.92
Andaman & Nicobar Islands,2018,4,South Andaman District,20136,75411840.8
Andaman & Nicobar Islands,2018,4,Nicobars District,1485,7180859.35
Andaman & Nicobar Islands,2019,1,North And Middle Andaman District,3264,9561708.74
Andaman & Nicobar Islands,2019,1,South Andaman District,25683,85501972.39
Andaman & Nicobar Islands,2019,1,Nicobars District,1539,7236059.55
Andaman & Nicobar Islands,2019,2,North And Middle Andaman District,3371,8612103.14
Andaman & Nicobar Islands,2019,2,South Andaman District,28490,102530955.71
Andaman & Nicobar Islands,2019,2,Nicobars District,1828,9111650.82
Andaman & Nicobar Islands,2019,3,North And Middle Andaman District,4049,11481466.28
Andaman & Nicobar Islands,2019,3,South Andaman District,27421,91023888.33
Andaman & Nicobar Islands,2019,3,Nicobars District,2300,11566421.48
Andaman & Nicobar Islands,2019,4,North And Middle Andaman District,4716,13524056.78
Andaman & Nicobar Islands,2019,4,South Andaman District,27843,110930312.21
Andaman & Nicobar Islands,2019,4,Nicobars District,2600,12384161.53
Andaman & Nicobar Islands,2020,1,North And Middle Andaman District,5674,14697371.62
Andaman & Nicobar Islands,2020,1,South Andaman District,32713,134679396.91
Andaman & Nicobar Islands,2020,1,Nicobars District,2911,12099543.77
Andaman & Nicobar Islands,2020,2,North And Middle Andaman District,10979,22447714.06
Andaman & Nicobar Islands,2020,2,South Andaman District,48088,132855778.75
Andaman & Nicobar Islands,2020,2,Nicobars District,3895,14341508.6
Andaman & Nicobar Islands,2020,3,North And Middle Andaman District,16747,33486883.37
Andaman & Nicobar Islands,2020,3,South Andaman District,95323,282366109.21
Andaman & Nicobar Islands,2020,3,Nicobars District,5413,22166453.75
